Academy College (Bloomington, MN)
Pivot Point Academy (Bloomingdale, IL)
Prairie State College (Chicago Heights, IL)
Principia College (Elsah, IL)
Professional's Choice Hair Design Academy (Joliet, IL)
Quincy University (Quincy, IL)
Rasmussen University-Illinois (Rockford, IL)
Reflections Academy of Beauty (Decatur, IL)
Rend Lake College (Ina, IL)
Resurrection University (Chicago, IL)
Richland Community College (Decatur, IL)
Robert Morris University Illinois (Chicago, IL)
Rock Valley College (Rockford, IL)
Rockford University (Rockford, IL)
Roosevelt University (Chicago, IL)
Rosalind Franklin University of Medicine and Science (North Chicago, IL)
Rosel School of Cosmetology (Niles, IL)
Rush University (Chicago, IL)
SAE Institute of Technology-Chicago (Chicago, IL)
Saint Anthony College of Nursing (Rockford, IL)
Saint Augustine College (Chicago, IL)
Saint Francis Medical Center College of Nursing (Peoria, IL)
Saint Xavier University (Chicago, IL)
Sauk Valley Community College (Dixon, IL)
School of the Art Institute of Chicago (Chicago, IL)
Shawnee Community College (Ullin, IL)
Soma Institute-The National School of Clinical Massage Therapy (Chicago, IL)
South Suburban College (South Holland, IL)
Southeastern Illinois College (Harrisburg, IL)
Southern Illinois University-Carbondale (Carbondale, IL)
Southern Illinois University-Edwardsville (Edwardsville, IL)
Southern Illinois University-Systems Office (Carbondale, IL)
Southwestern Illinois College (Belleville, IL)
Spertus College (Chicago, IL)
Spoon River College (Canton, IL)
St. John's College-Department of Nursing (Springfield, IL)
State Career College (Waukegan, IL)
Stautzenberger College-Rockford Career College (Rockford, IL)
Stellar Career College - Chicago, IL (Chicago, IL)
Steven Papageorge Hair Academy (Chicago, IL)
Taylor Business Institute (Chicago, IL)
Telshe Yeshiva-Chicago (Chicago, IL)
The Chicago School of Professional Psychology at Chicago (Chicago, IL)
The John Marshall Law School (Chicago, IL)
The Salon Professional Academy (Shorewood, IL)
The University of Aesthetics & Cosmetology (Downers Grove, IL)
The University of Chicago (Chicago, IL)
Toyota Technological Institute at Chicago (Chicago, IL)
Trenz Beauty Academy (Calumet City, IL)
Tri-County Beauty Academy (LITCHFIELD, IL)
Tricoci University of Beauty Culture-Bridgeview (Bridgeview, IL)
Tricoci University of Beauty Culture-Chicago NE (Chicago, IL)
Tricoci University of Beauty Culture-Chicago NW (Chicago, IL)
Tricoci University of Beauty Culture-Danville (Danville, IL)
Tricoci University of Beauty Culture-Elgin (Elgin, IL)
Tricoci University of Beauty Culture-Glendale Heights (Glendale Heights, IL)
Tricoci University of Beauty Culture-Libertyville (Libertyville, IL)
Tricoci University of Beauty Culture-Normal (Normal, IL)
Tricoci University of Beauty Culture-Peoria (Peoria, IL)
Tricoci University of Beauty Culture-Rockford (Rockford, IL)
Tricoci University of Beauty Culture-Urbana (Urbana, IL)
Trinity Christian College (Palos Heights, IL)
Trinity College of Nursing & Health Sciences (Rock Island, IL)
Trinity International University-Illinois (Deerfield, IL)
Triton College (River Grove, IL)
Universal Spa Training Academy (Downers Grove, IL)
Universal Technical Institute of Illinois Inc (Lisle, IL)
University of Aesthetics & Cosmetology (Chicago, IL)
University of Illinois Springfield (Springfield, IL)
University of Illinois University Administration (Urbana, IL)
University of Illinois at Chicago (Chicago, IL)
University of Illinois at Urbana-Champaign (Champaign, IL)
University of Phoenix-Illinois (Chicago, IL)
University of Saint Mary of the Lake (Mundelein, IL)
University of Spa & Cosmetology Arts (Springfield, IL)
University of St Francis (Joliet, IL)
VanderCook College of Music (Chicago, IL)
Verve College (Oak Brook, IL)
Wabash Valley College (Mount Carmel, IL)
Waubonsee Community College (Sugar Grove, IL)
Western Illinois University (Macomb, IL)
Wheaton College (Wheaton, IL)
William Rainey Harper College (Palatine, IL)
Worsham College of Mortuary Science (Wheeling, IL)
Allen College (Waterloo, IA)
American College of Hairstyling-Des Moines (Des Moines, IA)
American Hair Academy (Mt. Pleasant, IA)
Augustana University (Sioux Falls, SD)
Aveda Institute-Des Moines (West Des Moines, IA)
Avera McKennan Hospital School of Radiologic Technology (Sioux Falls, SD)
Avera Sacred Heart Hospital (Yankton, SD)
Bismarck State College (Bismarck, ND)
Black Hills State University (Spearfish, SD)
Briar Cliff University (Sioux City, IA)
Buena Vista University (Storm Lake, IA)
Cankdeska Cikana Community College (Fort Totten, ND)
Capri College-Cedar Rapids (Cedar Rapids, IA)
Capri College-Davenport (Davenport, IA)
Capri College-Dubuque (Dubuque, IA)
Carlson College of Massage Therapy (Anamosa, IA)
Central College (Pella, IA)
Clarke University (Dubuque, IA)
Coe College (Cedar Rapids, IA)
Columbia College - Minot AFB (Minot AFB, ND)
